TITLE	KEYWORD	YEAR
Girl Disappears (2008)	ghost	2008
Girl Explores Girl: The Alien Encounter (1998) (V)	alien	1998
Girls School Screamers (1986)	ghost	1986
Giselle (1976) (TV)	ghost	1976
Giving Up the Ghost (1998) (TV)	ghost	1998
Giving in for Love (2006)	alien	2006
Gladiators vs. Werewolves: Edge of Empire (????)	werewolf	2006
Glago's Guest (2008)	alien	2008
Glass Trap (2005)	giant-insect	2005
Glass Trap (2005)	mutant	2005
Glen Angel (2010)	zombie	2010
Gli amori di Ercole (1960)	dragon	1960
Gli amori di Ercole (1960)	monster	1960
Gli ultimi giorni di Pompeii (1913)	witch	1913
Glimt (2006)	ghost	2006
Gnomes (1980) (TV)	troll	1980
Go Down, Death! (1944)	ghost	1944
Go Mutants! (????)	alien	1944
Go Mutants! (????)	mutant	1944
Go to Hell (1999)	demon	1999
Go to Hell! (1997)	alien	1997
Go to Hell! (1997)	devil	1997
Go-hyang-i: Jook-eum-eul Bo-neun Doo Gae-eui Noon (2011)	ghost	2011
GoatSucker (2009)	monster	2009
Goblin (1993) (V)	demon	1993
Goblin (1993) (V)	goblin	1993
Goblin (1993) (V)	zombie	1993
God (1998)	devil	1998
God Hates Cartoons (2002) (V)	robot	2002
God Told Me To (1976)	alien	1976
God Told Me To (1976)	demon	1976
God of Vampires (2010)	vampire	2010
Godmonster of Indian Flats (1973)	monster	1973
Godmonster of Indian Flats (1973)	mutant	1973
Gods and Monsters (1998)	monster	1998
Godzilla (1998)	godzilla	1998
Godzilla (1998)	monster	1998
Godzilla (2014)	godzilla	2014
Godzilla 2001 (2001)	godzilla	2001
Godzilla Versus Disco Lando (1998)	monster	1998
Godzilla, King of the Monsters! (1956)	dinosaur	1956
Godzilla, King of the Monsters! (1956)	godzilla	1956
Godzilla, King of the Monsters! (1956)	monster	1956
Godzilla, King of the Monsters! (1956)	sea-monster	1956
Goeshi (1981)	zombie	1981
Gog (1954)	robot	1954
Gohy theu gay (2007)	ghost	2007
Going to Glory... Come to Jesus (1946)	devil	2007
Gojira (1954)	godzilla	1954
Gojira (1954)	monster	1954
Gojira (1984)	godzilla	1984
Gojira (1984)	monster	1984
Gojira VS DesutoroiÃ¢ (1995)	godzilla	1995
Gojira VS DesutoroiÃ¢ (1995)	monster	1995
Gojira VS Mekagojira (1993)	android	1993
Gojira VS Mekagojira (1993)	dinosaur	1993
Gojira VS Mekagojira (1993)	godzilla	1993
Gojira VS Mekagojira (1993)	monster	1993
Gojira VS Supesugojira (1994)	godzilla	1994
Gojira VS Supesugojira (1994)	monster	1994
Gojira ni-sen mireniamu (1999)	godzilla	1999
Gojira ni-sen mireniamu (1999)	monster	1999
Gojira no gyakushÃ» (1955)	godzilla	1955
Gojira no gyakushÃ» (1955)	monster	1955
Gojira tai HedorÃ¢ (1971)	dinosaur	1971
Gojira tai HedorÃ¢ (1971)	godzilla	1971
Gojira tai HedorÃ¢ (1971)	monster	1971
Gojira tai Megagirasu: JÃ® shÃ´metsu sakusen (2000)	giant-insect	2000
Gojira tai Megagirasu: JÃ® shÃ´metsu sakusen (2000)	godzilla	2000
Gojira tai Megagirasu: JÃ® shÃ´metsu sakusen (2000)	robot	2000
Gojira tai Megaro (1973)	android	1973
Gojira tai Megaro (1973)	cyclops	1973
Gojira tai Megaro (1973)	giant-insect	1973
Gojira tai Megaro (1973)	godzilla	1973
Gojira tai Megaro (1973)	monster	1973
Gojira tai Mekagojira (1974)	alien	1974
Gojira tai Mekagojira (1974)	godzilla	1974
Gojira tai Mekagojira (1974)	monster	1974
Gojira tai Mekagojira (1974)	robot	1974
Gojira tai Mekagojira (2002)	godzilla	2002
Gojira tai Mekagojira (2002)	monster	2002
Gojira tai Mosura tai Mekagojira: TÃ´kyÃ´ S.O.S. (2003)	godzilla	2002
Gojira tai Mosura tai Mekagojira: TÃ´kyÃ´ S.O.S. (2003)	monster	2002
Gojira vs. Biorante (1989)	godzilla	2002
Gojira vs. Biorante (1989)	monster-plant	2002
Gojira vs. Kingu GidorÃ¢ (1991)	android	2002
Gojira vs. Kingu GidorÃ¢ (1991)	dinosaur	2002
Gojira vs. Kingu GidorÃ¢ (1991)	godzilla	2002
Gojira vs. Kingu GidorÃ¢ (1991)	monster	2002
Gojira vs. Mosura (1992)	giant-insect	2002
Gojira vs. Mosura (1992)	godzilla	2002
Gojira vs. Mosura (1992)	monster	2002
Gojira, EbirÃ¢, Mosura: Nankai no daiketto (1966)	giant-insect	1966
Gojira, EbirÃ¢, Mosura: Nankai no daiketto (1966)	godzilla	1966
Gojira, EbirÃ¢, Mosura: Nankai no daiketto (1966)	monster	1966
Gojira, EbirÃ¢, Mosura: Nankai no daiketto (1966)	sea-monster	1966
Gojira, Mosura, Kingu GidorÃ¢: DaikaijÃ» sÃ´kÃ´geki (2001)	dragon	2001
Gojira, Mosura, Kingu GidorÃ¢: DaikaijÃ» sÃ´kÃ´geki (2001)	ghost	2001
Gojira-Minira-Gabara: Oru kaijÃ» daishingeki (1969)	giant-insect	1969
Gojira-Minira-Gabara: Oru kaijÃ» daishingeki (1969)	giant-snake	1969
Gojira-Minira-Gabara: Oru kaijÃ» daishingeki (1969)	giant-spider	1969
Gojira-Minira-Gabara: Oru kaijÃ» daishingeki (1969)	godzilla	1969
Gojira-Minira-Gabara: Oru kaijÃ» daishingeki (1969)	ogre	1969
Gojira: Fainaru uÃ´zu (2004)	godzilla	2004
Gojira: Fainaru uÃ´zu (2004)	monster	2004
Gojo reisenki: Gojoe (2000)	demon	2000
Gojo reisenki: Gojoe (2000)	ghost	2000
GokudÃ´ kyÃ´fu dai-gekijÃ´: Gozu (2003)	demon	2003
Gold Is Where You Lose It (1944)	ghost	1944
Golden Earrings (2010)	ghost	2010
Goldtown Ghost Riders (1953)	ghost	1953
Golgotha (2008)	dragon	2008
Goliath contro i giganti (1961)	sea-monster	1961
Gong tau (1989)	monster	1989
Gongofer (1992)	witch	1992
Good Boy! (2003)	alien	2003
Good Little Monkeys (1935)	devil	1935
Good Night, Sleep Tight (2006)	witch	2006
Good Old Boy: A Delta Boyhood (1988)	witch	1988
Good Scream Fun (1958)	ghost	1958
Gor (1987)	alien	1987
Gora dinozavrov (1967)	dinosaur	1967
Gordon (2007)	zombie	2007
Gore Whore (1994)	zombie	1994
GoreGoyles: First Cut (2003) (V)	zombie	2003
Goremet, Zombie Chef from Hell (1986)	zombie	1986
Gorgo (1961)	dinosaur	1961
Gorgo (1961)	monster	1961
Gorgo (1961)	sea-monster	1961
Gorgo Versus Godzilla (1969)	godzilla	1969
Gory Gory Hallelujah (2003)	zombie	2003
Gosa (2008)	ghost	2008
Gostanza da Libbiano (2000)	devil	2000
Gostanza da Libbiano (2000)	witch	2000
Got Papers? (2003)	devil	2000
Goth Girls: The Return (2007)	frankenstein's-monster	2007
Gotham (1988) (TV)	ghost	1988
Gothika (2003)	ghost	2003
Gou hun jiang tou (1976)	ghost	1976
Gou hun jiang tou (1976)	zombie	1976
GoyÃ´kiba: Oni no HanzÃ´ yawahada koban (1974)	ghost	1974
Grabbers (2012)	monster	2012
Graf Dracula beiÃŸt jetzt in Oberbayern (1979)	dracula	1979
Graf Dracula beiÃŸt jetzt in Oberbayern (1979)	vampire	1979
Grandma's Boy (2006)	demon	2006
Granite Hotel (1940)	dinosaur	1940
Grass Action (2004)	robot	2004
Grave Encounters (2011)	demon	2011
Grave Encounters (2011)	ghost	2011
Grave Mistake (2008) (V)	zombie	2008
Grave Reality (2012)	zombie	2012
Grave Secrets (1989)	ghost	1989
Grave Secrets: The Legacy of Hilltop Drive (1992) (TV)	ghost	1992
Grave of the Vampire (1972)	vampire	1972
Graveyard (2003)	zombie	2003
Graveyard Alive (2003)	zombie	2003
Graveyard Shift (1987)	vampire	1987
Graveyard Shift (1990)	monster	1990
Graveyard Shift (1990)	mutant	1990
Greedy Humpty Dumpty (1936)	witch	1936
Green Eggs and Hamlet (1995)	ghost	1995
Green Lantern (2011)	alien	2011
Green Lantern (2011)	monster	2011
Green Lantern: Emerald Knights (2011) (V)	alien	2011
Green Lantern: First Flight (2009) (V)	alien	2009
Green Mansions (1959)	witch	1959
Greendale (2003)	devil	2003
Greetings Bait (1943)	mermaid	1943
Gremlins (1984)	monster	1984
Gremlins 2: The New Batch (1990)	giant-spider	1990
Gremlins 2: The New Batch (1990)	monster	1990
Grendel (2007) (TV)	monster	2007
Grendel Grendel Grendel (1981)	dragon	1981
Grey (2011/I)	alien	2011
Grey Knight (1993)	zombie	1993
Grey Skies (2010)	alien	2010
Grid Iron (2004)	robot	2004
Grievestone (2008)	witch	2008
Grievestone (2008)	zombie	2008
Grim (1995)	monster	1995
Grim Prairie Tales: Hit the Trail... to Terror (1990)	ghost	1995
Grimas (2012)	ghost	2012
Grimm's Snow White (2012) (V)	dragon	2012
Grindhouse (2007)	ghost	2007
Grindhouse (2007)	werewolf	2007
Grindhouse (2007)	zombie	2007
Groom Lake (2002)	alien	2002
Groom of the Zombie (2009)	zombie	2009
Grotesque (1988)	mutant	1988
Grotesque (2003)	devil	2003
Ground Hog Play (1956)	ghost	1956
Grub (2005) (V)	alien	2005
Grub (2005) (V)	monster	2005
Gryphon (2007) (TV)	monster	2007
Gryphon (2007) (TV)	witch	2007
Gu jing you hun (1974)	dragon	1974
Gu jing you hun (1974)	ghost	1974
Guardian (2001)	demon	2001
Guardian of the Realm (2004)	demon	2004
Guess What Happened to Count Dracula? (1971)	vampire	2004
Guess Who's Coming for Christmas? (1990) (TV)	alien	2004
Gui a! Gui a! (2007)	ghost	2007
Gui ba shi (1995)	ghost	1995
Gui da gui (1980)	vampire	1980
Gui huo de gu shi (1989)	vampire	1989
Gui meng jiao (1986)	monster	1986
Gui nu chuan (1971)	monster	1971
Gui si (2006)	ghost	2006
Gui xin niang (1972)	ghost	1972
Gui xin niang (1987)	ghost	1987
Gui yan (1974)	ghost	1974
Gui yao gui (1990)	ghost	1990
Gui yao gui (1990)	mummy	1990
Gui yao gui (1990)	vampire	1990
Gui yao gui (1990)	zombie	1990
Guided Mouse-Ille (1967)	robot	1967
Gulliver Mickey (1934)	giant-insect	1934
Gulliver Mickey (1934)	giant-spider	1934
Gumiho (1994)	ghost	1994
Gun Barista (2010)	zombie	2010
Gunnm (1993) (V)	robot	1993
Guns of El Chupacabra (1997) (V)	monster	1997
Guns, Ghosts & Girlfriends (2007)	ghost	2007
Gurdian (2009)	monster	2009
Gurney Journey (2008)	ogre	2008
Guru, the Mad Monk (1970)	vampire	1970
GurÃªto MajingÃ¢ tai GettÃ¢ Robo: KÃ»chÃ» Dai-gekitotsu (1975)	robot	1975
Gusha no bindume (2004)	demon	2004
Gusha no bindume (2004)	devil	2004
Guts of the Gods (2005)	mummy	2005
Guts of the Gods (2005)	zombie	2005
Gutten som kappÃ¥t med trollet (1967)	monster	1967
Gutten som kappÃ¥t med trollet (1967)	troll	1967
Guwapings dos (1993)	witch	1993
Guwapings: The First Adventure (1992)	vampire	1992
Guwapings: The First Adventure (1992)	zombie	1992
Guy of Warwick (1926)	ghost	1926
Guy's Guide to Zombies (2006)	zombie	2006
Guyver (1991)	mutant	1991
Guyver: Dark Hero (1994)	alien	1994
Guzoo: Kami ni misuterareshi mono - Part I (1986) (V)	monster	1986
Gwai aan ying ging (2006)	ghost	2006
Gwai ma kwong seung kuk (2004)	monster	2004
Gwen (2004)	vampire	2004
Gwoemul (2006)	monster	2006
Gwoemul (2006)	mutant	2006
Gwok chaan Ling Ling Chat (1994)	dinosaur	1994
H5N1: Le jour de la pandÃ©mie (2009)	zombie	2009
Ha phraeng (2009)	ghost	2009
Ha phraeng (2009)	zombie	2009
Ha-Trempist (1972)	robot	1972
Habeas Corpus (1928)	ghost	1928
Habit (1995)	vampire	1995
Habitat (1997)	mutant	1997
Hai zi wang (1988)	monster	1988
Hair of the Sasquatch (2008)	bigfoot	2008
Hair of the Sasquatch (2008)	sasquatch	2008
Hair-Raising Hare (1946)	monster	1946
Hair-Raising Hare (1946)	robot	1946
Hakkyousuru kuchibiru (2000)	ghost	2000
Hakuja den (1958)	dragon	1958
Half Alive: The Zombie Musical (2009)	zombie	2009
Half Human: The Story of the Abominable Snowman (1958)	bigfoot	1958
Half Human: The Story of the Abominable Snowman (1958)	monster	1958
Half Human: The Story of the Abominable Snowman (1958)	sasquatch	1958
Half Human: The Story of the Abominable Snowman (1958)	yeti	1958
Half Light (2006)	ghost	2006
Half Moon (2010/I)	werewolf	2010
Halfway Home (1998)	ghost	1998
Halifirien (2009)	troll	2009
Halik ng bampira (1997)	vampire	1997
Halik ng sirena (2001)	mermaid	2001
Hallow Pointe (2013)	werewolf	2013
Hallow's End (2003) (V)	vampire	2003
Hallow's End (2003) (V)	zombie	2003
Halloween Havoc (1991) (V)	phantom	1991
Halloween Havoc (1995) (TV)	mummy	1995
Halloween Havoc (1995) (TV)	yeti	1995
Halloween Havoc (2000) (TV)	vampire	2000
Halloween II (2009)	ghost	2009
Halloween III: Season of the Witch (1982)	android	1982
Halloween III: Season of the Witch (1982)	robot	1982
Halloween Is Grinch Night (1977) (TV)	monster	1977
Halloween with the New Addams Family (1977) (TV)	monster	1977
Halloween with the New Addams Family (1977) (TV)	vampire	1977
Halloween with the New Addams Family (1977) (TV)	werewolf	1977
Halloweentown (1998) (TV)	ghost	1998
Halloweentown (1998) (TV)	goblin	1998
Halloweentown (1998) (TV)	monster	1998
Halloweentown (1998) (TV)	vampire	1998
Halloweentown (1998) (TV)	werewolf	1998
Halloweentown (1998) (TV)	witch	1998
Halloweentown (1998) (TV)	zombie	1998
Halloweentown High (2004) (TV)	monster	2004
Halo (????)	alien	2004
Halt (2008)	zombie	2008
Hametsu No Mars (2005) (V)	alien	2005
Hamlet (1948)	ghost	1948
Hamlet (1964/I)	ghost	1964
Hamlet (1969)	ghost	1969
Hamlet (1990)	ghost	1990
Hamlet (1996)	ghost	1996
Hamlet (2000)	ghost	2000
Hamlet (2000/II) (TV)	ghost	2000
Hamlet (2004/I) (TV)	ghost	2004
Hamlet (2009) (TV)	ghost	2009
Hamlet A.D.D. (2012)	android	2009
Hamlet A.D.D. (2012)	ghost	2009
Hamlet liikemaailmassa (1987)	ghost	1987
Hamlet the Vampire Slayer (2008)	vampire	2008
Hamlet, Prince of Denmark (1980) (TV)	ghost	1980
Hamlet, Prinz von DÃ¤nemark (1961) (TV)	ghost	1961
Hamlet_X (2003)	ghost	2003
Hammer of the Gods (2009) (TV)	werewolf	2009
Hanaoni (2010)	demon	2010
Hand Maid May (2001) (V)	android	2001
Hand Maid May (2001) (V)	robot	2001
Hand of Death (1962)	monster	1962
Hangar 18 (1980)	alien	1980
Hank Danger and the Fountain of Death! (2008) (V)	monster	2008
Hank Danger and the Fountain of Death! (2008) (V)	vampire	2008
Hank Danger and the Space Mummy's Tomb! (2009) (V)	monster	2009
Hank, Aaron and the Alien from Outer Space (2009)	alien	2009
Hans Christian Andersen: My Life as a Fairy Tale (2003) (TV)	mermaid	2003
Hans RÃ¶ckle und der Teufel (1974)	devil	1974
Hansel & Gretel (1997) (V)	troll	1997
Hansel & Gretel (1997) (V)	witch	1997
Hansel & Gretel (2002)	troll	2002
Hansel & Gretel (2002)	witch	2002
Hansel & Gretel (2006)	witch	2006
Hansel and Gretel (1954)	witch	1954
Hansel and Gretel (1958) (TV)	witch	1958
Hansel and Gretel (1982) (TV)	witch	1982
Hansel and Gretel (1987)	witch	1987
Hansel and Gretel (2008) (TV)	witch	2008
Hansel and Gretel in 3D (2013)	witch	2013
Hansel and Gretel: Witch Hunters (2013)	troll	2013
Hansel and Gretel: Witch Hunters (2013)	witch	2013
Hanteringen av odÃ¶da (2013)	zombie	2013
Hantu jamu gendong (2009)	ghost	2009
Hantu perawan jeruk purut (2008)	ghost	2008
Haplos (1982)	ghost	1982
Happily Ever After (1990)	dragon	1990
Happily Ever After (1990)	monster	1990
Happily Ever After (2005)	ghost	2005
Happily Ever After (2005)	witch	2005
Happy Feet (2006)	alien	2006
Happy Gilmore (1996)	ghost	1996
Happy Hell Night (1992)	demon	1992
Haram alek (1954)	dracula	1954
Haram alek (1954)	frankenstein's-monster	1954
Haram alek (1954)	monster	1954
Haram alek (1954)	werewolf	1954
Hard Feelings (2007)	alien	2007
Hard Rock Zombies (1985)	zombie	1985
Hardware (1990)	android	1990
Hardware (1990)	robot	1990
Hardware Wars (1978)	monster	1978
Hardware Wars (1978)	robot	1978
Hare Lift (1952)	robot	1952
Hare Ribbin' (1944)	mermaid	1944
Harmagedon: Genma taisen (1983)	demon	1983
Harmagedon: Genma taisen (1983)	dragon	1983
Harmagedon: Genma taisen (1983)	robot	1983
Harold & Kumar Escape from Guantanamo Bay (2008)	cyclops	2008
Harold and the Purple Crayon (1959)	dragon	1959
Harry (2007)	android	2007
Harry Doright's Prelude to Hell (2008)	demon	2008
Harry Goes to Jupiter (2008)	alien	2008
Harry Goes to Jupiter (2008)	bigfoot	2008
Harry Knuckles and the Pearl Necklace (2004) (V)	bigfoot	2004
Harry Knuckles and the Treasure of the Aztec Mummy (1999) (V)	mummy	1999
Harry Knuckles and the Treasure of the Aztec Mummy (1999) (V)	zombie	1999
Harry Potter and the Chamber of Secrets (2002)	ghost	2002
Harry Potter and the Chamber of Secrets (2002)	giant-snake	2002
Harry Potter and the Chamber of Secrets (2002)	giant-spider	2002
Harry Potter and the Chamber of Secrets (2002)	monster	2002
Harry Potter and the Chamber of Secrets (2002)	witch	2002
Harry Potter and the Deathly Hallows: Part 1 (2010)	demon	2010
Harry Potter and the Deathly Hallows: Part 1 (2010)	goblin	2010
Harry Potter and the Deathly Hallows: Part 1 (2010)	werewolf	2010
Harry Potter and the Deathly Hallows: Part 2 (2011)	dragon	2011
Harry Potter and the Deathly Hallows: Part 2 (2011)	ghost	2011
Harry Potter and the Deathly Hallows: Part 2 (2011)	giant-snake	2011
Harry Potter and the Deathly Hallows: Part 2 (2011)	giant-spider	2011
Harry Potter and the Deathly Hallows: Part 2 (2011)	goblin	2011
Harry Potter and the Deathly Hallows: Part 2 (2011)	werewolf	2011
Harry Potter and the Deathly Hallows: Part 2 (2011)	witch	2011
Harry Potter and the Goblet of Fire (2005)	dragon	2005
Harry Potter and the Goblet of Fire (2005)	ghost	2005
Harry Potter and the Goblet of Fire (2005)	giant-snake	2005
Harry Potter and the Goblet of Fire (2005)	mermaid	2005
Harry Potter and the Goblet of Fire (2005)	witch	2005
Harry Potter and the Half-Blood Prince (2009)	dragon	2009
Harry Potter and the Half-Blood Prince (2009)	giant-spider	2009
Harry Potter and the Half-Blood Prince (2009)	werewolf	2009
Harry Potter and the Order of the Phoenix (2007)	ghost	2007
Harry Potter and the Order of the Phoenix (2007)	witch	2007
Harry Potter and the Prisoner of Azkaban (2004)	ghost	2004
Harry Potter and the Prisoner of Azkaban (2004)	giant-spider	2004
Harry Potter and the Prisoner of Azkaban (2004)	werewolf	2004
Harry Potter and the Prisoner of Azkaban (2004)	witch	2004
Harry Potter and the Sorcerer's Stone (2001)	dragon	2001
Harry Potter and the Sorcerer's Stone (2001)	ghost	2001
Harry Potter and the Sorcerer's Stone (2001)	goblin	2001
Harry Potter and the Sorcerer's Stone (2001)	monster	2001
Harry Potter and the Sorcerer's Stone (2001)	troll	2001
Harry Potter and the Sorcerer's Stone (2001)	witch	2001
Harry and the Hendersons (1987)	bigfoot	1987
Harry and the Hendersons (1987)	sasquatch	1987
Harvest (2005/II)	alien	2005
Harvest Moon (2008)	vampire	2008
Harvey Daggit and the Devil's Olives (2007)	devil	2007
Hasta el viento tiene miedo (1968)	ghost	1968
Hatchet County (2012)	demon	2012
Hatred of a Minute (2002)	demon	2002
Haunt (2010)	ghost	2010
Haunted (1977)	demon	1977
Haunted (1977)	ghost	1977
Haunted (1993)	dracula	1993
Haunted (1993)	frankenstein's-monster	1993
Haunted (1993)	werewolf	1993
Haunted (1995)	ghost	1995
Haunted (1998)	ghost	1998
Haunted - 3D (2011)	ghost	2011
Haunted Boat (2005)	ghost	2005
Haunted Castle (2001)	demon	2001
Haunted Castle (2001)	devil	2001
Haunted Castle (2001)	ghost	2001
Haunted Echoes (2008) (V)	ghost	2008
Haunted Gold (1932)	ghost	1932
Haunted Gold (1932)	phantom	1932
Haunted Harbor (1944)	sea-monster	1944
Haunted House (1929)	zombie	1929
Haunted House (2004) (V)	ghost	2004
Haunted House (2009)	ghost	2009
Haunted House (2009)	monster	2009
Haunted House (2009)	zombie	2009
Haunted Palace (1949)	ghost	1949
Haunted Range (1926)	ghost	1926
Haunted by Her Past (1987) (TV)	demon	1987
Haunted by Her Past (1987) (TV)	ghost	1987
Haunted: The Ferryman (1974) (TV)	ghost	1974
Haunters of the Deep (1984)	ghost	1984
Haunting Desires (2006) (TV)	vampire	2006
Haunting of Winchester House (2009) (V)	ghost	2009
Haunts (1977)	demon	1977
Haunts (1977)	zombie	1977
Hauru no ugoku shiro (2004)	demon	2004
Hauru no ugoku shiro (2004)	monster	2004
Hauru no ugoku shiro (2004)	witch	2004
Hausu (1977)	ghost	1977
Have Me for Dinner (2008)	vampire	2008
Have Rocket -- Will Travel (1959)	giant-spider	1959
Hawk of the Wilderness (1938)	demon	1938
Hay que matar a DrÃ¡cula (1968) (TV)	dracula	1968
Hay que matar a DrÃ¡cula (1968) (TV)	vampire	1968
Hayanbang (2002)	ghost	2002
Hayride Slaughter (2001) (V)	demon	2001
Head (1968)	mermaid	1968
Head of the Family (1996)	mutant	1996
Headspace (2005)	monster	2005
Health Freaks (2009)	mutant	2009
Heart Condition (1990)	ghost	1990
Heart and Souls (1993)	ghost	1993
Heart's Atlantis (2008)	mermaid	2008
Heartbeeps (1981)	android	1981
Heartbeeps (1981)	robot	1981
Heartless (2009/I)	demon	2009
Heartless (2009/I)	devil	2009
Heartstopper (1991)	vampire	1991
Heartwood (2009)	ogre	2009
Heat Vision and Jack (1999) (TV)	alien	1999
Heatseeker (1995)	android	1995
Heaven Can Wait (1943)	devil	1943
Heaven Can Wait (1943)	ghost	1943
Heaven Can Wait (1943)	satan	1943
Heaven Is Hell (2012)	zombie	2012
Heaven on Earth (1998) (TV)	demon	1998
Heavenly Puss (1949)	satan	1949
Heavy Metal (1981)	alien	1981
Heavy Metal (1981)	robot	1981
Heavy Metal (1981)	zombie	1981
Heavy Metal (2009)	robot	2009
Heavy Metal 2000 (2000)	alien	2000
Heavy Metal 2000 (2000)	zombie	2000
Hector's Hectic Life (1948)	devil	1948
Heir Restorer (1958)	ghost	1958
Heisses Blut oder Vivienne del Vargos' letzter Vorhang (2005)	werewolf	2005
Heksen og cyklisten (1909)	witch	1909
Held for Ransom (2000)	monster	2000
Hell Asylum (2002) (V)	ghost	2002
Hell Bent for Whiskey (2004)	zombie	2004
Hell Broth (2011) (V)	satan	2011
Hell Comes to Frogtown (1988)	mutant	1988
Hell Night (1981)	ghost	1981
Hell Night (1981)	monster	1981
Hell Swarm (2000) (TV)	alien	2000
Hell for Bread (2011)	satan	2011
Hell's Belles (1995)	devil	1995
Hell's Bells (1929)	demon	1929
Hell's Bells (1929)	devil	1929
Hell's Bells (1929)	dragon	1929
Hell's Bells (1929)	satan	1929
Hell's Fire (1934)	demon	1934
Hell's Fire (1934)	devil	1934
Hell's Fire (1934)	satan	1934
Hell's Highway (2002) (V)	devil	2002
Hellacious Acres: The Case of John Glass (2011)	alien	2011
Hellbent (1988)	devil	1988
Hellbinders (2009)	demon	2009
Hellblock 13 (1999) (V)	ghost	1999
Hellborn (2003)	demon	2003
Hellborn (2003)	devil	2003
Hellbound (1994)	demon	1994
Hellbound (1994)	monster	1994
Hellbound: Hellraiser II (1988)	demon	1988
Hellboy (2004)	demon	2004
Hellboy Animated: Iron Shoes (2007) (V)	demon	2007
Hellboy Animated: Iron Shoes (2007) (V)	monster	2007
Hellboy Animated: Sword of Storms (2006) (TV)	demon	2006
Hellboy II: The Golden Army (2008)	demon	2008
Hellboy II: The Golden Army (2008)	goblin	2008
Hellboy II: The Golden Army (2008)	mutant	2008
Hellboy II: The Golden Army (2008)	troll	2008
Hellbride (2007)	monster	2007
Hellcat and Tala (2009)	monster	2009
Hellcat and Tala (2009)	vampire	2009
Hellcat and Tala (2009)	werewolf	2009
Hellfire (1995) (TV)	ghost	1995
Hellgate (1990)	ghost	1990
Hellgate (1990)	zombie	1990
Hellmaster (1992)	monster	1992
Hellmaster (1992)	mutant	1992
Hello Again (1987)	witch	1987
Hello Mary Lou: Prom Night II (1987)	ghost	1987
Hellphone (2010)	demon	2010
Hellraiser (1987)	demon	1987
Hellraiser (1987)	monster	1987
Hellraiser III: Hell on Earth (1992)	demon	1992
Hellraiser III: Hell on Earth (1992)	ghost	1992
Hellraiser: Bloodline (1996)	demon	1996
Hellraiser: Inferno (2000) (V)	demon	2000
Hellspawn (1993) (V)	demon	1993
Help Me... I'm Possessed (1976)	monster	1993
Help Me... I'm Possessed (1976)	mutant	1993
Henry Blackhart Is Dead! (2008)	ghost	2008
Henry's Garden (2002)	monster	2002
Henry's Night In (1969)	invisible-man	1969
Hercules (1983)	robot	1983
Hercules (1997)	cyclops	1997
Hercules (1997)	monster	1997
Hercules and the Amazon Women (1994) (TV)	monster	1994
Hercules and the Princess of Troy (1965) (TV)	monster	1965
Hercules and the Princess of Troy (1965) (TV)	sea-monster	1965
Hercules in the Maze of the Minotaur (1994) (TV)	monster	1994
Hercules in the Underworld (1994) (TV)	demon	1994
Hercules in the Underworld (1994) (TV)	monster	1994
Hercules: The Legendary Journeys - Hercules and the Lost Kingdom (1994) (TV)	monster	1994
Herd (1999)	alien	1999
Heriuddo (1982)	alien	1982
Hero (1982)	witch	1982
Herr Arnes penningar (1954)	ghost	1954
Heruzu enjueruzu (2008)	demon	2008
Het SnÃ¶: Part 1 (2011)	zombie	2011
Hexe Lilli: Der Drache und das magische Buch (2009)	witch	2009
Hexe Lilli: Die Reise nach Mandolan (2011)	witch	2011
Hey Cinderella! (1969) (TV)	monster	1969
Hey, Happy! (2001)	alien	2001
Hi! I'm Riff! (2008) (V)	dinosaur	2008
Hi-eo-ro (2010)	vampire	2010
Hide and Creep (2004)	zombie	2004
Hide and Seek (2007)	ghost	2007
Hide and Shriek (1955)	ghost	1955
Hideous! (1997)	monster	1997
High Desert Kill (1989) (TV)	alien	1989
High Maintenance (2006/I)	robot	2006
High Plains Drifter (1973)	ghost	1973
High Plains Invaders (2009) (TV)	alien	2009
High Spirits (1988)	demon	1988
High Spirits (1988)	ghost	1988
High Spirits (1988)	zombie	1988
Highway 61 (1991)	devil	1991
Highway Runnery (1965)	robot	1965
Highway to Hell (1991)	demon	1991
Highway to Hell (1991)	devil	1991
Highway to Hell (1991)	monster	1991
Highway to Hell (1991)	satan	1991
Highway to Hell (1991)	zombie	1991
Highway to Santa Fe (2006)	alien	2006
Highway to Santa Fe (2006)	devil	2006
Highway to Santa Fe (2006)	ghost	2006
Hillbillys in a Haunted House (1967)	ghost	1967
Hindsight (2010/IV)	alien	2010
Hinokio (2005)	robot	2005
Hipijok sal yuk (1973)	monster	1973
His Brother's Ghost (1945)	ghost	1945
His Fatal Beauty (1917)	predator	1917
His Majesty, the Scarecrow of Oz (1914)	mermaid	1914
His Majesty, the Scarecrow of Oz (1914)	witch	1914
Hisss (2010)	monster	2010
Histoires extraordinaires (1968)	ghost	1968
Historias violentas (1985)	alien	1985
History (2008)	monster	2008
History of the World in 2 Hours (2011) (TV)	dinosaur	2011
Hitori kakurenbo: GekijÃ´-ban (2009)	ghost	2009
Hobgoblins (1988)	alien	1988
Hobgoblins (1988)	goblin	1988
Hocus Pocus (1993)	ghost	1993
Hocus Pocus (1993)	witch	1993
Hocus Pocus (1993)	zombie	1993
Hogties & Other Bondage Stories (2003) (V)	alien	2003
Hold That Ghost (1941)	ghost	1941
Hollow Man (2000)	invisible-man	2000
